VAR,DESCRIPTION
VMONTH,Month of visit
VDAYR,Day of week of visit
AGE,Patient age in years
AGER,Patient age recode
AGEDAYS,Age in days for patients less than 1 year
SEX,Patient sex
PREGNANT,Is patient pregnant?
GESTWK,Gestation week
ETHUN,Patient ethnicity - unimputed
RACEUN,Patient race - unimputed
ETHIM,Patient ethnicity - imputed
RACER,Patient race - imputed
RACERETH,Race/ethnicity - imputed
NOPAY,Expected source of payment for visit: No answer to item
PAYPRIV,Expected source of payment for visit: Private insurance
PAYMCARE,Expected source of payment for visit: Medicare
PAYMCAID,Expected source of payment for visit: Medicaid or CHIP or other state-based program
PAYWKCMP,Expected source of payment for visit: Workers Compensation
PAYSELF,Expected source of payment for visit: Self-pay
PAYNOCHG,Expected source of payment for visit: No Charge/Charity
PAYOTH,Expected source of payment for visit: Other
PAYDK,Expected source of payment for visit: Unknown
PAYTYPER,Type of payment (recoded from multiple sources using hierarchy)
USETOBAC,Tobacco Use
EVERTOBAC,Prior Tobacco Use
INJURY,"Is visit related to an injury/trauma, overdose/poisoning, or adverse effect of medical/surgical treatment?"
INJPOISAD,Is visit related to injury/poisoning/adverse effect of medical/surgical treatment?
INJURY72,"Did the injury/trauma, overdose/poisoning or adverse effect occur within 72 hours prior to the date and time of this visit?"
INTENT,Is this injury/trauma or overdose/poisoning intentional or unintentional?
INJURY_ENC,Type of encounter for injury visits
RFV1,Patient's reason for visit #1
RFV13D,Patient's reason for visit #1 - broader
RFV2,Patient's reason for visit #2
RFV23D,Patient's reason for visit #2 - broader
RFV3,Patient's reason for visit #3
RFV33D,Patient's reason for visit #3 - broader
RFV4,Patient's reason for visit #4
RFV43D,Patient's reason for visit #4 - broader
RFV5,Patient's reason for visit #5
RFV53D,Patient's reason for visit #5 - broader
CAUSE1,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #1"
CAUSE2,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #2"
CAUSE3,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #3"
PRIMCARE,Are you the patient's primary care provider?
REFER,Was patient referred for visit?
SENBEFOR,Has this patient been seen in your practice before?
PASTVIS,"If yes, how many past visits in the last 12 months?"
MAJOR,Major reason for this visit
DIAG1,Diagnosis #1
PRDIAG1,"Is diagnosis #1 probable, questionable or rule out?"
DIAG2,Diagnosis #2
PRDIAG2,"Is diagnosis $2 probable, questionable or rule out?"
DIAG3,Diagnosis #3
PRDIAG3,"Is diagnosis #3 probable, questionable or rule out?"
DIAG4,Diagnosis #4 - numeric recode
PRDIAG4,"Is diagnosis #4 probable, questionable or rule out?"
DIAG5,Diagnosis #5 - numeric recode
PRDIAG5,"Is diagnosis #5 probable, questionable or rule out?"
ETOHAB,"Does patient now have: alcohol misuse, abuse or dependence"
ALZHD,Does patient now have: Alzheimer's disease/Dementia
ARTHRTIS,Does patient now have: Arthritis
ASTHMA,Does patient now have: Asthma
ASTH_SEV,Asthma severity
ASTH_CON,Asthma control
ADD,Does patient now have: Attention deficit disorder (ADD)/Attention deficit hyperactivity disorder (ADHD)?
AUTISM,Does patient now have: Autism spectrum disorder
CANCER,Does patient now have: Cancer
CEBVD,Does patient now have: Cerebrovascular disease/History of stroke (CVA) or transient ischemic attack (TIA)
CKD,Does patient now have: chronic kidney disease? (CKD)
COPD,Does patient now have: Chronic Obstructive Pulmonary Disease (COPD)
CHF,Does patient now have: Congestive heart failure (CHF)
CAD,"Does patient now have: coronary artery disease (CAD), ischemic heart disease (IHD) or history of myocardial infarction (MI)"
DEPRN,Does patient now have: Depression
DIABTYP1,"Does patient now have: Diabetes mellitus (DM), type 1"
DIABTYP2,"Does patient now have: Diabetes mellitus (DM), type 2"
DIABTYP0,"Does patient now have: Diabetes mellitus (DM), type unspecified"
ESRD,Does patient  now have: end stage renal disease (ESRD)
HEPB,Does patient now have: Hepatitis B?
HEPC,Does patient now have: Hepatitis C?
HPE,"Does patient  now have: history of pulmonary embolism (PE), deep vein thrombosis (DVT), or venous thromboembolism (VTE)"
HIV,Does patient  now have HIV infection/AIDS?
HYPLIPID,Does patient now have: Hyperlipidemia
HTN,Does patient now have: Hypertension
OBESITY,Does patient now have: Obesity
OSA,Does patient now have: obstructive sleep apnea (OSA)
OSTPRSIS,Does patient now have: Osteoporosis
SUBSTAB,Does patient now have: Substance abuse or dependence
NOCHRON,Does patient now have: None of the above
TOTCHRON,Total number of chronic conditions
HTTAKE,Was height taken?
HTIN,Height in inches
WTTAKE,Was weight taken?
WTLB,Weight in pounds
BMI,Body mass index - calculated from height and weight
TEMPTAKE,Was temperature taken?
TEMPF,Temperature (in Fahrenheit)
BLODPRES,Was blood pressure taken?
BPSYS,Systolic blood pressure
BPDIAS,Diastolic blood pressure
SERVICES,"Were any services ordered or provided at this visit? (Based on SERVICES item only, does not include vital signs)"
ETOH,"Alcohol misuse screening (includes AUDIT, MAST, CAGE, T-ACE)"
BREAST,Breast exam
DEPRESS,Depression screening
DVS,Domestic violence screening
FOOT,Foot exam
NEURO,Neurologic exam
PELVIC,Pelvic exam
RECTAL,Rectal exam
RETINAL,Retinal/Eye exam
SKIN,Skin exam
SUBST,"Substance abuse screening (includes NIDA/NM ASSIST, CAGE-AID, DAST-10)"
BMP,Basic metabolic panel (BMP)
CBC,CBC (complete blood count)
CHLAMYD,Chlamydia test
CMP,Comprehensive metabolic panel (CMP)
CREAT,Creatinine/Renal function panel
BLDCX,"Culture, blood"
TRTCX,"Culture, throat"
URNCX,"Culture, urine"
OTHCX,"Culture, other"
GLUCOSE,"Glucose, serum"
GCT,Gonorrhea test
HGBA,HbA1C (Glycohemoglobin)
HEPTEST,Hepatitis testing/panel
HIVTEST,HIV test
HPVDNA,HPV DNA test
CHOLEST,Lipid profile/panel
HEPATIC,Liver enzymes/hepatic function panel
PAP,PAP test
PREGTEST,Pregnancy/HCG test
PSA,PSA (prostate specific antigen) test
STREP,Rapid strep test
THYROID,TSH/Thyroid panel
URINE,Urinalysis (UA) or urine dipstick
VITD,Vitamin D test
ANYIMAGE,Any imaging
BONEDENS,Bone mineral density
CATSCAN,CT Scan
ECHOCARD,Echocardiogram
OTHULTRA,Ultrasound
MAMMO,Mammography
MRI,MRI
XRAY,X-ray
OTHIMAGE,Other imaging
AUDIO,Audiometry
BIOPSY,Biopsy
BIOPROV,Biopsy provided
CARDIAC,Cardiac stress test
COLON,Colonoscopy
CRYO,Cryosurgery (cryotherapy)/Destruction of tissue
EKG,EKG/ECG
EEG,Electroencephalogram (EEG)
EMG,Electromyogram (EMG)
EXCISION,Excision of tissue
EXCIPROV,Excision of tissue provided
FETAL,Fetal monitoring
PEAK,Peak flow
SIGMOID,Sigmoidoscopy
SIGPROV,Sigmoidoscopy provided
SPIRO,Spirometry
TONO,Tonometry
TBTEST,Tuberculosis skin testing/PPD
EGD,Upper gastrointestinal endoscopy/EGD
SIGCOLON,Sigmoidoscopy/colonoscopy recoded variable
CSW,Cast/splint/wrap
CAM,Complementary and alternative medicine (CAM)
DME,Durable medical equipment
HOMEHLTH,Home health care
MENTAL,"Mental health counseling, excluding psychotherapy"
OCCUPY,Occupational therapy
PT,Physical therapy
PSYCHOTH,Psychotherapy
RADTHER,Radiation therapy
WOUND,Wound care
ETOHED,Alcohol abuse counseling
ASTHMAED,Asthma education
ASTHMAP,Asthma action plan given to patient
DIAEDUC,Diabetes education
DIETNUTR,Diet/nutrition
EXERCISE,Exercise
FAMPLAN,Family planning/Contraception
GENETIC,Genetic counseling
GRWTHDEV,Growth/Development
INJPREV,Injury prevention
STDPREV,STD prevention
STRESMGT,Stress management
SUBSTED,Substance abuse counseling
TOBACED,Tobacco use/Exposure
WTREDUC,Weight reduction
OTHSERV,Any write-in procedures reported
PROC1,Procedure #1
PROC2,Procedure #2
PROC3,Procedure #3
PROC4,Procedure #4
PROC5,Procedure #5
PROC6,Procedure #6
PROC7,Procedure #7
PROC8,Procedure #8
PROC9,Procedure #9
SERVCNT,Total number of services ordered or provided including vital signs
ALLSERV,Were any services ordered or provided including vital signs?
MED,Were any prescription or non-prescription drugs ordered or provided (by any route of administration) at this visit?
MED1,Medication #1
MED2,Medication #2
MED3,Medication #3
MED4,Medication #4
MED5,Medication #5
MED6,Medication #6
MED7,Medication #7
MED8,Medication #8
MED9,Medication #9
MED10,Medication #10
MED11,Medication #11
MED12,Medication #12
MED13,Medication #13
MED14,Medication #14
MED15,Medication #15
MED16,Medication #16
MED17,Medication #17
MED18,Medication #18
MED19,Medication #19
MED20,Medication #20
MED21,Medication #21
MED22,Medication #22
MED23,Medication #23
MED24,Medication #24
MED25,Medication #25
MED26,Medication #26
MED27,Medication #27
MED28,Medication #28
MED29,Medication #29
MED30,Medication #30
NCMED1,Is Medication #1 new or continued?
NCMED2,Is Medication #2 new or continued?
NCMED3,Is Medication #3 new or continued?
NCMED4,Is Medication #4 new or continued?
NCMED5,Is Medication #5 new or continued?
NCMED6,Is Medication #6 new or continued?
NCMED7,Is Medication #7 new or continued?
NCMED8,Is Medication #8 new or continued?
NCMED9,Is Medication #9 new or continued?
NCMED10,Is Medication #10 new or continued
NCMED11,Is Medication #11 new or continued
NCMED12,Is Medication #12 new or continued
NCMED13,Is Medication #13 new or continued
NCMED14,Is Medication #14 new or continued
NCMED15,Is Medication #15 new or continued
NCMED16,Is Medication #16 new or continued
NCMED17,Is Medication #17 new or continued
NCMED18,Is Medication #18 new or continued
NCMED19,Is Medication #19 new or continued
NCMED20,Is Medication #20 new or continued
NCMED21,Is Medication #21 new or continued
NCMED22,Is Medication #22 new or continued
NCMED23,Is Medication #23 new or continued
NCMED24,Is Medication #24 new or continued
NCMED25,Is Medication #25 new or continued
NCMED26,Is Medication #26 new or continued
NCMED27,Is Medication #27 new or continued
NCMED28,Is Medication #28 new or continued
NCMED29,Is Medication #29 new or continued
NCMED30,Is Medication #30 new or continued
NUMMED,Number of medications coded
NUMNEW,Number of new medications coded
NUMCONT,Number of continuing medications coded
NOPROVID,Providers seen: no answer to item
PHYS,Physician seen
PHYSASST,Physician assistant seen
NPNMW,Nurse practitioner/midwife seen
RNLPN,Registered nurse/LPN seen
MHP,Mental health provider seen
OTHPROV,Other provider seen
PROVNONE,No provider seen
TIMEMD,Time spent with physician in minutes
NODISP,Visit disposition: no answer to item
RETREFPHY,Return to referring physician/provider
REFOTHMD,Refer to other physician/provider
RETAPPT1,Return in less than 1 week
RETAPPT2,Return in 1 week to less than 2 months
RETAPPT3,Return in 2 months or greater
RETUNSP,Return at unspecified time
RETNEED,Return as needed (p.r.n.)
ERADMHOS,Refer to ER/Admit to hospital
OTHDISP,Other disposition
CHOL,Was blood for total cholesterol test drawn at sampled visit or within past 12 months?
CHOLRES,Most recent result for total cholesterol (mg/dL)
DAYDCHOL,Difference in days between visit date and date of cholesterol lab result
HDL,Was blood for HDL test drawn at visit or within past 12 months?
HDLRES,Most recent result for HDL (mg/dL)
DAYDHDL,Difference in days between visit date and date of HDL lab result
LDL,Was blood for LDL test drawn at visit or within past 12 months?
LDLRES,Most recent result for LDL (mg/dL)
DAYDLDL,Difference in days between visit date and date of LDL lab result
LIPIDERR,"Calculated LDL, NOT TO BE USED FOR ANALYSIS"
LDLDIFF,Difference between reported LDL and calculated LDL
TGS,Was blood for triglycerides (TGS) test drawn at visit or within past 12 months?
TGSRES,Most recent result for TGS (mg/dL)
DAYDTGS,Difference in days between visit date and date of TGS lab result
A1C,Was blood for HbA1c test drawn at visit or within past 12 months?
A1CRES,Most recent result for HbA1c
DAYDA1C,Difference in days between visit date and date of HbA1c lab result
FBG,Was blood for blood glucose (BG) drawn at visit or within past 12 months?
FBGRES,Most recent result for FBG (mg/dL)
DAYDFBG,Difference in days between visit date and date of FBG lab result
SERUM,Was blood for serum creatinine drawn at visit or within past 12 months?
SERUMRESR,Most recent result for serum creatinine (mg/dL)
DAYDSERUM,Difference in days between visit date and date of serum creatinine lab result
AGEFLAG,Was patient age calculated by NCHS during data processing or recorded on instrument?
BDATEFL,Was birth year imputed?
SEXFL,Was sex imputed?
ETHNICFL,Was ethnicity imputed (model based)?
RACERFL,Was race imputed (model based)?
SENBEFL,Was seen before imputed?
PASTFL,Was Past visits imputed
TIMEMDFL,Was time spent with physician imputed?
HTWTFL,Did height or weight fall outside of acceptable ranges?
PHYCODE,Provider marker
PATCODE,Sequential numbering of visit records per physician
SPECR,Physician specialty - 14 groups
SPECCAT,"Type of specialty (Primary, Medical, Surgical)"
MDDO,Type of doctor (MD or DO)
RETYPOFFR,Type of office setting for this visit - recoded
SOLO,Type of practice (solo/nonsolo)
EMPSTAT,Ownership status of physician
OWNSR,Who owns the practice? - recoded
PATEVEN,Do you see patients in the office during the evening or on weekends?
NHVISR,"During last normal week of practice, did you make any nursing home visits?"
HOMVISR,"During last normal week of practice, did you make any other home visits?"
HOSVISR,"During last normal week of practice, did you make any hospital visits?"
TELCONR,"During last normal week of practice, did you have any telephone consults with patients?"
ECONR,"During last normal week of practice, did you have any internet/email consults with patients?"
EBILLANY,Does the reporting location (office with most visits) submit any claims electronically (electronic billing)?
EMEDREC,Does the reporting location (office with most visits) use an electronic health record (EHR) or electronic medical record (EMR) system? Do not include billing record systems
HHSMU,Does your current system meet meaningful use criteria as defined by the Department of Health and Human Services?
EMRINS,At the reporting location (office with the most visits) are there plans for installing new EMR system or replacing current system within next 18 months?
EDEMOGR,Does reporting location have this computerized capability: recording patient history and demographic information?
EPROLSTR,Does reporting location have this computerized capability: recording patient problem lists?
EPNOTESR,Does reporting location have this computerized capability: recording clinical notes?
EMEDALGR,Does reporting location have this computerized capability: recording patient's medications and allergies?
EMEDIDR,Does reporting location have this computerized capability: reconciling lists of patient medications to identify the most accurate list?
EREMINDR,Does reporting location have this computerized capability: providing reminders for guideline-based interventions or screening tests?
ECPOER,Does reporting location have this computerized capability: ordering prescriptions?
ESCRIPR,"If location has computerized capability to order prescriptions, are prescriptions sent electronically to pharmacy?"
EWARNR,"If location has computerized capability to order prescriptions, are warnings of drug interactions or contraindications provided?"
ECONTR,Do you prescribe controlled substances?
ECONTSCRIPR,Are prescriptions for controlled substances sent electronically to the pharmacy?
ECTOER,Does reporting location have this computerized capability: ordering lab tests?
ERESULTR,Does reporting location have this computerized capability: viewing lab results?
ERADIR,Does reporting location have this computerized capability: ordering radiology tests?
EIMGRESR,Does reporting location have this computerized capability: viewing imaging results?
EIDPTR,Does reporting location have this computerized capability: identifying patients due for preventive or follow-up care?
EGENLISTR,Does reporting location have this computerized capability: providing data to generate lists of patients with particular health conditions?
EDATAREPR,Does reporting location have this computerized capability: providing data to create reports on clinical care measures for patients with specific chronic conditions (e.g. HbA1c for diabetes)?
ESUMR,Does reporting location have this computerized capability: providing patients with clinical summaries for each visit?
EMSGR,Does reporting location have this computerized capability: exchanging secure messages with patients?
REFOUT,Do you refer patients to providers outside of your office or group?
REF_ELE,"How do you send patient health information? - Electronically (EHR, web portal, or online registries)"
REF_PAPER,"How do you send patient health information? - Via paper-based methods (Fax, eFax, or mail)"
NO_REF,How do you send patient health information? - We do not send any patient health information to providers outside of our office or group
REFOUTHOWUNK,How do you send patient health information? - Unknown
REFOUTHOWREF,How do you send patient health information? - Refused
REFIN,Do you see any patients from providers outside of your office or group?
REC_ELE,"How do you receive patient health information from them?- Electronically (EHR, web portal, or online registries)"
REC_PAPER,"How do you receive patient health information from them?- Via paper-based methods (Fax, eFax, or mail)"
NO_REC,How do you receive patient health information from them? - We do not receive any patient health information from providers outside of our office or group
REFINHOWUNK,How do you receive patient health information from them? - Unknown
REFINHOWREF,How do you receive patient health information from them? - Refused
ESHARE,"Do you send or receive patient health information electronically? Electronically does not include scanned or pdf documents from fax, eFax, or mail."
ESHARES,Do you electronically send patient health information to another provider whose EHR system is different from your own?
ESHARER,Do you electronically receive patient health information from another provider whose EHR system is different from your own?
DISCHSR_SEND,Do you electronically send or receive hospital discharge summaries to or from providers outside of your medical organization? --Send electronically
DISCHSR_REC,Do you electronically send or receive hospital discharge summaries to or from providers outside of your medical organization? --Receive electronically
DISCHSR_NO,Do you electronically send or receive hospital discharge summaries to or from providers outside of your medical organization? --Do not send or receive
DISCHSR_UNK,Do you electronically send or receive hospital discharge summaries to or from providers outside of your medical organization? --Unknown
DISCHSR_REF,Do you electronically send or receive hospital discharge summaries to or from providers outside of your medical organization? --Refused
