VAR,DESCRIPTION
RX13V3C3,"For RX13, level 3 of MULTUM drug category #3"
RX13V3C4,"For RX13, level 3 of MULTUM drug category #4"
DRUGID14,Drug ID for medication #14
PRESCR14,Prescription status code for medication #14
CONTSUB14,Controlled substance code for medication #14
COMSTAT14,Composition status code for medication #14
RX14CAT1,"For RX14, MULTUM drug category #1 - detailed"
RX14CAT2,"For RX14, MULTUM drug category #2 - detailed"
RX14CAT3,"For RX14, MULTUM drug category #3 - detailed"
RX14CAT4,"For RX14, MULTUM drug category #4 - detailed"
RX14V1C1,"For RX14, level 1 of MULTUM drug category #1"
RX14V1C2,"For RX14, level 1 of MULTUM drug category #2"
RX14V1C3,"For RX14, level 1 of MULTUM drug category #3"
RX14V1C4,"For RX14, level 1 of MULTUM drug category #4"
RX14V2C1,"For RX14, level 2 of MULTUM drug category #1"
RX14V2C2,"For RX14, level 2 of MULTUM drug category #2"
RX14V2C3,"For RX14, level 2 of MULTUM drug category #3"
RX14V2C4,"For RX14, level 2 of MULTUM drug category #4"
RX14V3C1,"For RX14, level 3 of MULTUM drug category #1"
RX14V3C2,"For RX14, level 3 of MULTUM drug category #2"
RX14V3C3,"For RX14, level 3 of MULTUM drug category #3"
RX14V3C4,"For RX14, level 3 of MULTUM drug category #4"
DRUGID15,Drug ID for medication #15
PRESCR15,Prescription status code for medication #15
CONTSUB15,Controlled substance code for medication #15
COMSTAT15,Composition status code for medication #15
RX15CAT1,"For RX15, MULTUM drug category #1 - detailed"
RX15CAT2,"For RX15, MULTUM drug category #2 - detailed"
RX15CAT3,"For RX15, MULTUM drug category #3 - detailed"
RX15CAT4,"For RX15, MULTUM drug category #4 - detailed"
RX15V1C1,"For RX15, level 1 of MULTUM drug category #1"
RX15V1C2,"For RX15, level 1 of MULTUM drug category #2"
RX15V1C3,"For RX15, level 1 of MULTUM drug category #3"
RX15V1C4,"For RX15, level 1 of MULTUM drug category #4"
RX15V2C1,"For RX15, level 2 of MULTUM drug category #1"
RX15V2C2,"For RX15, level 2 of MULTUM drug category #2"
RX15V2C3,"For RX15, level 2 of MULTUM drug category #3"
RX15V2C4,"For RX15, level 2 of MULTUM drug category #4"
RX15V3C1,"For RX15, level 3 of MULTUM drug category #1"
RX15V3C2,"For RX15, level 3 of MULTUM drug category #2"
RX15V3C3,"For RX15, level 3 of MULTUM drug category #3"
RX15V3C4,"For RX15, level 3 of MULTUM drug category #4"
DRUGID16,Drug ID for medication #16
PRESCR16,Prescription status code for medication #16
CONTSUB16,Controlled substance code for medication #16
COMSTAT16,Composition status code for medication #16
RX16CAT1,"For RX16, MULTUM drug category #1 - detailed"
RX16CAT2,"For RX16, MULTUM drug category #2 - detailed"
RX16CAT3,"For RX16, MULTUM drug category #3 - detailed"
RX16CAT4,"For RX16, MULTUM drug category #4 - detailed"
RX16V1C1,"For RX16, level 1 of MULTUM drug category #1"
RX16V1C2,"For RX16, level 1 of MULTUM drug category #2"
RX16V1C3,"For RX16, level 1 of MULTUM drug category #3"
RX16V1C4,"For RX16, level 1 of MULTUM drug category #4"
RX16V2C1,"For RX16, level 2 of MULTUM drug category #1"
RX16V2C2,"For RX16, level 2 of MULTUM drug category #2"
RX16V2C3,"For RX16, level 2 of MULTUM drug category #3"
RX16V2C4,"For RX16, level 2 of MULTUM drug category #4"
RX16V3C1,"For RX16, level 3 of MULTUM drug category #1"
RX16V3C2,"For RX16, level 3 of MULTUM drug category #2"
RX16V3C3,"For RX16, level 3 of MULTUM drug category #3"
RX16V3C4,"For RX16, level 3 of MULTUM drug category #4"
DRUGID17,Drug ID for medication #17
PRESCR17,Prescription status code for medication #17
CONTSUB17,Controlled substance code for medication #17
COMSTAT17,Composition status code for medication #17
RX17CAT1,"For RX17, MULTUM drug category #1 - detailed"
RX17CAT2,"For RX17, MULTUM drug category #2 - detailed"
RX17CAT3,"For RX17, MULTUM drug category #3 - detailed"
RX17CAT4,"For RX17, MULTUM drug category #4 - detailed"
RX17V1C1,"For RX17, level 1 of MULTUM drug category #1"
RX17V1C2,"For RX17, level 1 of MULTUM drug category #2"
RX17V1C3,"For RX17, level 1 of MULTUM drug category #3"
RX17V1C4,"For RX17, level 1 of MULTUM drug category #4"
RX17V2C1,"For RX17, level 2 of MULTUM drug category #1"
RX17V2C2,"For RX17, level 2 of MULTUM drug category #2"
RX17V2C3,"For RX17, level 2 of MULTUM drug category #3"
RX17V2C4,"For RX17, level 2 of MULTUM drug category #4"
RX17V3C1,"For RX17, level 3 of MULTUM drug category #1"
RX17V3C2,"For RX17, level 3 of MULTUM drug category #2"
RX17V3C3,"For RX17, level 3 of MULTUM drug category #3"
RX17V3C4,"For RX17, level 3 of MULTUM drug category #4"
DRUGID18,Drug ID for medication #18
PRESCR18,Prescription status code for medication #18
CONTSUB18,Controlled substance code for medication #18
COMSTAT18,Composition status code for medication #18
RX18CAT1,"For RX18, MULTUM drug category #1 - detailed"
RX18CAT2,"For RX18, MULTUM drug category #2 - detailed"
RX18CAT3,"For RX18, MULTUM drug category #3 - detailed"
RX18CAT4,"For RX18, MULTUM drug category #4 - detailed"
RX18V1C1,"For RX18, level 1 of MULTUM drug category #1"
RX18V1C2,"For RX18, level 1 of MULTUM drug category #2"
RX18V1C3,"For RX18, level 1 of MULTUM drug category #3"
RX18V1C4,"For RX18, level 1 of MULTUM drug category #4"
RX18V2C1,"For RX18, level 2 of MULTUM drug category #1"
RX18V2C2,"For RX18, level 2 of MULTUM drug category #2"
RX18V2C3,"For RX18, level 2 of MULTUM drug category #3"
RX18V2C4,"For RX18, level 2 of MULTUM drug category #4"
RX18V3C1,"For RX18, level 3 of MULTUM drug category #1"
RX18V3C2,"For RX18, level 3 of MULTUM drug category #2"
RX18V3C3,"For RX18, level 3 of MULTUM drug category #3"
RX18V3C4,"For RX18, level 3 of MULTUM drug category #4"
DRUGID19,Drug ID for medication #19
PRESCR19,Prescription status code for medication #19
CONTSUB19,Controlled substance code for medication #19
COMSTAT19,Composition status code for medication #19
RX19CAT1,"For RX19, MULTUM drug category #1 - detailed"
RX19CAT2,"For RX19, MULTUM drug category #2 - detailed"
RX19CAT3,"For RX19, MULTUM drug category #3 - detailed"
RX19CAT4,"For RX19, MULTUM drug category #4 - detailed"
RX19V1C1,"For RX19, level 1 of MULTUM drug category #1"
RX19V1C2,"For RX19, level 1 of MULTUM drug category #2"
RX19V1C3,"For RX19, level 1 of MULTUM drug category #3"
RX19V1C4,"For RX19, level 1 of MULTUM drug category #4"
RX19V2C1,"For RX19, level 2 of MULTUM drug category #1"
RX19V2C2,"For RX19, level 2 of MULTUM drug category #2"
RX19V2C3,"For RX19, level 2 of MULTUM drug category #3"
RX19V2C4,"For RX19, level 2 of MULTUM drug category #4"
RX19V3C1,"For RX19, level 3 of MULTUM drug category #1"
RX19V3C2,"For RX19, level 3 of MULTUM drug category #2"
RX19V3C3,"For RX19, level 3 of MULTUM drug category #3"
RX19V3C4,"For RX19, level 3 of MULTUM drug category #4"
DRUGID20,Drug ID for medication #20
PRESCR20,Prescription status code for medication #20
CONTSUB20,Controlled substance code for medication #20
COMSTAT20,Composition status code for medication #20
RX20CAT1,"For RX20, MULTUM drug category #1 - detailed"
RX20CAT2,"For RX20, MULTUM drug category #2 - detailed"
RX20CAT3,"For RX20, MULTUM drug category #3 - detailed"
RX20CAT4,"For RX20, MULTUM drug category #4 - detailed"
RX20V1C1,"For RX20, level 1 of MULTUM drug category #1"
RX20V1C2,"For RX20, level 1 of MULTUM drug category #2"
RX20V1C3,"For RX20, level 1 of MULTUM drug category #3"
RX20V1C4,"For RX20, level 1 of MULTUM drug category #4"
RX20V2C1,"For RX20, level 2 of MULTUM drug category #1"
RX20V2C2,"For RX20, level 2 of MULTUM drug category #2"
RX20V2C3,"For RX20, level 2 of MULTUM drug category #3"
RX20V2C4,"For RX20, level 2 of MULTUM drug category #4"
RX20V3C1,"For RX20, level 3 of MULTUM drug category #1"
RX20V3C2,"For RX20, level 3 of MULTUM drug category #2"
RX20V3C3,"For RX20, level 3 of MULTUM drug category #3"
RX20V3C4,"For RX20, level 3 of MULTUM drug category #4"
DRUGID21,Drug ID for medication #21
PRESCR21,Prescription status code for medication #21
CONTSUB21,Controlled substance code for medication #21
COMSTAT21,Composition status code for medication #21
RX21CAT1,"For RX21, MULTUM drug category #1 - detailed"
RX21CAT2,"For RX21, MULTUM drug category #2 - detailed"
RX21CAT3,"For RX21, MULTUM drug category #3 - detailed"
RX21CAT4,"For RX21, MULTUM drug category #4 - detailed"
RX21V1C1,"For RX21, level 1 of MULTUM drug category #1"
RX21V1C2,"For RX21, level 1 of MULTUM drug category #2"
RX21V1C3,"For RX21, level 1 of MULTUM drug category #3"
RX21V1C4,"For RX21, level 1 of MULTUM drug category #4"
RX21V2C1,"For RX21, level 2 of MULTUM drug category #1"
RX21V2C2,"For RX21, level 2 of MULTUM drug category #2"
RX21V2C3,"For RX21, level 2 of MULTUM drug category #3"
RX21V2C4,"For RX21, level 2 of MULTUM drug category #4"
RX21V3C1,"For RX21, level 3 of MULTUM drug category #1"
RX21V3C2,"For RX21, level 3 of MULTUM drug category #2"
RX21V3C3,"For RX21, level 3 of MULTUM drug category #3"
RX21V3C4,"For RX21, level 3 of MULTUM drug category #4"
DRUGID22,Drug ID for medication #22
PRESCR22,Prescription status code for medication #22
CONTSUB22,Controlled substance code for medication #22
COMSTAT22,Composition status code for medication #22
RX22CAT1,"For RX22, MULTUM drug category #1 - detailed"
RX22CAT2,"For RX22, MULTUM drug category #2 - detailed"
RX22CAT3,"For RX22, MULTUM drug category #3 - detailed"
RX22CAT4,"For RX22, MULTUM drug category #4 - detailed"
RX22V1C1,"For RX22, level 1 of MULTUM drug category #1"
RX22V1C2,"For RX22, level 1 of MULTUM drug category #2"
RX22V1C3,"For RX22, level 1 of MULTUM drug category #3"
RX22V1C4,"For RX22, level 1 of MULTUM drug category #4"
RX22V2C1,"For RX22, level 2 of MULTUM drug category #1"
RX22V2C2,"For RX22, level 2 of MULTUM drug category #2"
RX22V2C3,"For RX22, level 2 of MULTUM drug category #3"
RX22V2C4,"For RX22, level 2 of MULTUM drug category #4"
RX22V3C1,"For RX22, level 3 of MULTUM drug category #1"
RX22V3C2,"For RX22, level 3 of MULTUM drug category #2"
RX22V3C3,"For RX22, level 3 of MULTUM drug category #3"
RX22V3C4,"For RX22, level 3 of MULTUM drug category #4"
DRUGID23,Drug ID for medication #23
PRESCR23,Prescription status code for medication #23
CONTSUB23,Controlled substance code for medication #23
COMSTAT23,Composition status code for medication #23
RX23CAT1,"For RX23, MULTUM drug category #1 - detailed"
RX23CAT2,"For RX23, MULTUM drug category #2 - detailed"
RX23CAT3,"For RX23, MULTUM drug category #3 - detailed"
RX23CAT4,"For RX23, MULTUM drug category #4 - detailed"
RX23V1C1,"For RX23, level 1 of MULTUM drug category #1"
RX23V1C2,"For RX23, level 1 of MULTUM drug category #2"
RX23V1C3,"For RX23, level 1 of MULTUM drug category #3"
RX23V1C4,"For RX23, level 1 of MULTUM drug category #4"
RX23V2C1,"For RX23, level 2 of MULTUM drug category #1"
RX23V2C2,"For RX23, level 2 of MULTUM drug category #2"
RX23V2C3,"For RX23, level 2 of MULTUM drug category #3"
RX23V2C4,"For RX23, level 2 of MULTUM drug category #4"
RX23V3C1,"For RX23, level 3 of MULTUM drug category #1"
RX23V3C2,"For RX23, level 3 of MULTUM drug category #2"
RX23V3C3,"For RX23, level 3 of MULTUM drug category #3"
RX23V3C4,"For RX23, level 3 of MULTUM drug category #4"
DRUGID24,Drug ID for medication #24
PRESCR24,Prescription status code for medication #24
CONTSUB24,Controlled substance code for medication #24
COMSTAT24,Composition status code for medication #24
RX24CAT1,"For RX24, MULTUM drug category #1 - detailed"
RX24CAT2,"For RX24, MULTUM drug category #2 - detailed"
RX24CAT3,"For RX24, MULTUM drug category #3 - detailed"
RX24CAT4,"For RX24, MULTUM drug category #4 - detailed"
RX24V1C1,"For RX24, level 1 of MULTUM drug category #1"
RX24V1C2,"For RX24, level 1 of MULTUM drug category #2"
RX24V1C3,"For RX24, level 1 of MULTUM drug category #3"
RX24V1C4,"For RX24, level 1 of MULTUM drug category #4"
RX24V2C1,"For RX24, level 2 of MULTUM drug category #1"
RX24V2C2,"For RX24, level 2 of MULTUM drug category #2"
RX24V2C3,"For RX24, level 2 of MULTUM drug category #3"
RX24V2C4,"For RX24, level 2 of MULTUM drug category #4"
RX24V3C1,"For RX24, level 3 of MULTUM drug category #1"
RX24V3C2,"For RX24, level 3 of MULTUM drug category #2"
RX24V3C3,"For RX24, level 3 of MULTUM drug category #3"
RX24V3C4,"For RX24, level 3 of MULTUM drug category #4"
DRUGID25,Drug ID for medication #25
PRESCR25,Prescription status code for medication #25
CONTSUB25,Controlled substance code for medication #25
COMSTAT25,Composition status code for medication #25
RX25CAT1,"For RX25, MULTUM drug category #1 - detailed"
RX25CAT2,"For RX25, MULTUM drug category #2 - detailed"
RX25CAT3,"For RX25, MULTUM drug category #3 - detailed"
RX25CAT4,"For RX25, MULTUM drug category #4 - detailed"
RX25V1C1,"For RX25, level 1 of MULTUM drug category #1"
RX25V1C2,"For RX25, level 1 of MULTUM drug category #2"
RX25V1C3,"For RX25, level 1 of MULTUM drug category #3"
RX25V1C4,"For RX25, level 1 of MULTUM drug category #4"
RX25V2C1,"For RX25, level 2 of MULTUM drug category #1"
RX25V2C2,"For RX25, level 2 of MULTUM drug category #2"
RX25V2C3,"For RX25, level 2 of MULTUM drug category #3"
RX25V2C4,"For RX25, level 2 of MULTUM drug category #4"
RX25V3C1,"For RX25, level 3 of MULTUM drug category #1"
RX25V3C2,"For RX25, level 3 of MULTUM drug category #2"
RX25V3C3,"For RX25, level 3 of MULTUM drug category #3"
RX25V3C4,"For RX25, level 3 of MULTUM drug category #4"
DRUGID26,Drug ID for medication #26
PRESCR26,Prescription status code for medication #26
CONTSUB26,Controlled substance code for medication #26
COMSTAT26,Composition status code for medication #26
RX26CAT1,"For RX26, MULTUM drug category #1 - detailed"
RX26CAT2,"For RX26, MULTUM drug category #2 - detailed"
RX26CAT3,"For RX26, MULTUM drug category #3 - detailed"
RX26CAT4,"For RX26, MULTUM drug category #4 - detailed"
RX26V1C1,"For RX26, level 1 of MULTUM drug category #1"
RX26V1C2,"For RX26, level 1 of MULTUM drug category #2"
RX26V1C3,"For RX26, level 1 of MULTUM drug category #3"
RX26V1C4,"For RX26, level 1 of MULTUM drug category #4"
RX26V2C1,"For RX26, level 2 of MULTUM drug category #1"
RX26V2C2,"For RX26, level 2 of MULTUM drug category #2"
RX26V2C3,"For RX26, level 2 of MULTUM drug category #3"
RX26V2C4,"For RX26, level 2 of MULTUM drug category #4"
RX26V3C1,"For RX26, level 3 of MULTUM drug category #1"
RX26V3C2,"For RX26, level 3 of MULTUM drug category #2"
RX26V3C3,"For RX26, level 3 of MULTUM drug category #3"
RX26V3C4,"For RX26, level 3 of MULTUM drug category #4"
DRUGID27,Drug ID for medication #27
PRESCR27,Prescription status code for medication #27
CONTSUB27,Controlled substance code for medication #27
COMSTAT27,Composition status code for medication #27
RX27CAT1,"For RX27, MULTUM drug category #1 - detailed"
RX27CAT2,"For RX27, MULTUM drug category #2 - detailed"
RX27CAT3,"For RX27, MULTUM drug category #3 - detailed"
RX27CAT4,"For RX27, MULTUM drug category #4 - detailed"
RX27V1C1,"For RX27, level 1 of MULTUM drug category #1"
RX27V1C2,"For RX27, level 1 of MULTUM drug category #2"
RX27V1C3,"For RX27, level 1 of MULTUM drug category #3"
RX27V1C4,"For RX27, level 1 of MULTUM drug category #4"
RX27V2C1,"For RX27, level 2 of MULTUM drug category #1"
RX27V2C2,"For RX27, level 2 of MULTUM drug category #2"
RX27V2C3,"For RX27, level 2 of MULTUM drug category #3"
RX27V2C4,"For RX27, level 2 of MULTUM drug category #4"
RX27V3C1,"For RX27, level 3 of MULTUM drug category #1"
RX27V3C2,"For RX27, level 3 of MULTUM drug category #2"
RX27V3C3,"For RX27, level 3 of MULTUM drug category #3"
RX27V3C4,"For RX27, level 3 of MULTUM drug category #4"
DRUGID28,Drug ID for medication #28
PRESCR28,Prescription status code for medication #28
CONTSUB28,Controlled substance code for medication #28
COMSTAT28,Composition status code for medication #28
RX28CAT1,"For RX28, MULTUM drug category #1 - detailed"
RX28CAT2,"For RX28, MULTUM drug category #2 - detailed"
RX28CAT3,"For RX28, MULTUM drug category #3 - detailed"
RX28CAT4,"For RX28, MULTUM drug category #4 - detailed"
RX28V1C1,"For RX28, level 1 of MULTUM drug category #1"
RX28V1C2,"For RX28, level 1 of MULTUM drug category #2"
RX28V1C3,"For RX28, level 1 of MULTUM drug category #3"
RX28V1C4,"For RX28, level 1 of MULTUM drug category #4"
RX28V2C1,"For RX28, level 2 of MULTUM drug category #1"
RX28V2C2,"For RX28, level 2 of MULTUM drug category #2"
RX28V2C3,"For RX28, level 2 of MULTUM drug category #3"
RX28V2C4,"For RX28, level 2 of MULTUM drug category #4"
RX28V3C1,"For RX28, level 3 of MULTUM drug category #1"
RX28V3C2,"For RX28, level 3 of MULTUM drug category #2"
RX28V3C3,"For RX28, level 3 of MULTUM drug category #3"
RX28V3C4,"For RX28, level 3 of MULTUM drug category #4"
DRUGID29,Drug ID for medication #29
PRESCR29,Prescription status code for medication #29
CONTSUB29,Controlled substance code for medication #29
COMSTAT29,Composition status code for medication #29
RX29CAT1,"For RX29, MULTUM drug category #1 - detailed"
RX29CAT2,"For RX29, MULTUM drug category #2 - detailed"
RX29CAT3,"For RX29, MULTUM drug category #3 - detailed"
RX29CAT4,"For RX29, MULTUM drug category #4 - detailed"
RX29V1C1,"For RX29, level 1 of MULTUM drug category #1"
RX29V1C2,"For RX29, level 1 of MULTUM drug category #2"
RX29V1C3,"For RX29, level 1 of MULTUM drug category #3"
RX29V1C4,"For RX29, level 1 of MULTUM drug category #4"
RX29V2C1,"For RX29, level 2 of MULTUM drug category #1"
RX29V2C2,"For RX29, level 2 of MULTUM drug category #2"
RX29V2C3,"For RX29, level 2 of MULTUM drug category #3"
RX29V2C4,"For RX29, level 2 of MULTUM drug category #4"
RX29V3C1,"For RX29, level 3 of MULTUM drug category #1"
RX29V3C2,"For RX29, level 3 of MULTUM drug category #2"
RX29V3C3,"For RX29, level 3 of MULTUM drug category #3"
RX29V3C4,"For RX29, level 3 of MULTUM drug category #4"
DRUGID30,Drug ID for medication #30
PRESCR30,Prescription status code for medication #30
CONTSUB30,Controlled substance code for medication #30
COMSTAT30,Composition status code for medication #30
RX30CAT1,"For RX30, MULTUM drug category #1 - detailed"
RX30CAT2,"For RX30, MULTUM drug category #2 - detailed"
RX30CAT3,"For RX30, MULTUM drug category #3 - detailed"
RX30CAT4,"For RX30, MULTUM drug category #4 - detailed"
RX30V1C1,"For RX30, level 1 of MULTUM drug category #1"
RX30V1C2,"For RX30, level 1 of MULTUM drug category #2"
RX30V1C3,"For RX30, level 1 of MULTUM drug category #3"
RX30V1C4,"For RX30, level 1 of MULTUM drug category #4"
RX30V2C1,"For RX30, level 2 of MULTUM drug category #1"
RX30V2C2,"For RX30, level 2 of MULTUM drug category #2"
RX30V2C3,"For RX30, level 2 of MULTUM drug category #3"
RX30V2C4,"For RX30, level 2 of MULTUM drug category #4"
RX30V3C1,"For RX30, level 3 of MULTUM drug category #1"
RX30V3C2,"For RX30, level 3 of MULTUM drug category #2"
RX30V3C3,"For RX30, level 3 of MULTUM drug category #3"
RX30V3C4,"For RX30, level 3 of MULTUM drug category #4"
CSTRATM,Masked sampling stratum from which provider was selected
CPSUM,Masked provider marker
YEAR,Survey year
SETTYPE,Survey identifier
PATWT,"Patient visit weight used for national, regional, and divisional estimates"
PHYSWT,Weight used for physician-level estimates based on responding in-scope physicians seeing patients
